chr	cen.start	cen.end	chr.len	order
chr1	195471971	195471971	195471971	1
chr2	182113224	182113224	182113224	2
chr3	160039680	160039680	160039680	3
chr4	156508116	156508116	156508116	4
chr5	151834684	151834684	151834684	5
chr6	149736546	149736546	149736546	6
chr7	145441459	145441459	145441459	7
chr8	129401213	129401213	129401213	8
chr9	124595110	124595110	124595110	9
chr10	130694993	130694993	130694993	10
chr11	122082543	122082543	122082543	11
chr12	120129022	120129022	120129022	12
chr13	120421639	120421639	120421639	13
chr14	124902244	124902244	124902244	14
chr15	104043685	104043685	104043685	15
chr16	98207768	98207768	98207768	16
chr17	94987271	94987271	94987271	17
chr18	90702639	90702639	90702639	18
chr19	61431566	61431566	61431566	19
chrX	171031299	171031299	171031299	20
chrY	83143632	91744698	91744698	21
