chr	cen.start	cen.end	chr.len	order
chr1	122026459	124932724	248956422	1
chr2	92188145	94090557	242193529	2
chr3	90772458	93655574	198295559	3
chr4	49712061	51743951	190214555	4
chr5	46485900	50059807	181538259	5
chr6	58553888	59829934	170805979	6
chr7	58169653	61528020	159345973	7
chr8	44033744	45877265	145138636	8
chr9	43389635	45518558	138394717	9
chr10	39686682	41593521	133797422	10
chr11	51078348	54425074	135086622	11
chr12	34769407	37185252	133275309	12
chr13	16000000	18051248	114364328	13
chr14	16000000	18173523	107043718	14
chr15	17083673	19725254	101991189	15
chr16	36311158	38265669	90338345	16
chr17	22813679	26616164	83257441	17
chr18	15460899	20861206	80373285	18
chr19	24498980	27190874	58617616	19
chr20	26436232	30038348	64444167	20
chr21	10864560	12915808	46709983	21
chr22	12954788	15054318	50818468	22
chrX	58605579	62412542	156040895	23
chrY	10316944	10544039	57227415	24
