chr	cen.start	cen.end	chr.len	order
chr1	195154279	195154279	195154279	1
chr2	181755017	181755017	181755017	2
chr3	159745316	159745316	159745316	3
chr4	156860686	156860686	156860686	4
chr5	151758149	151758149	151758149	5
chr6	149588044	149588044	149588044	6
chr7	144995196	144995196	144995196	7
chr8	130127694	130127694	130127694	8
chr9	124359700	124359700	124359700	9
chr10	130530862	130530862	130530862	10
chr11	121973369	121973369	121973369	11
chr12	120092757	120092757	120092757	12
chr13	120883175	120883175	120883175	13
chr14	125139656	125139656	125139656	14
chr15	104073951	104073951	104073951	15
chr16	98008968	98008968	98008968	16
chr17	95294699	95294699	95294699	17
chr18	90720763	90720763	90720763	18
chr19	61420004	61420004	61420004	19
chrX	169476592	169476592	169476592	20
chrY	83263735	91455967	91455967	21
