chr	cen.start	cen.end	chr.len	order
chr1	121796048	126300487	248387328	1
chr2	92333543	94673023	242696752	2
chr3	91738002	96415026	201105948	3
chr4	49705154	55199795	193574945	4
chr5	47039134	49596625	182045439	5
chr6	58286706	61058390	172126628	6
chr7	60414372	63714499	160567428	7
chr8	44215832	46325080	146259331	8
chr9	44951775	47582595	150617247	9
chr10	39633793	41664589	134758134	10
chr11	51035789	54450838	135127769	11
chr12	34620838	37202490	133324548	12
chr13	15547593	17498291	113566686	13
chr14	10092112	12708411	101161492	14
chr15	16678794	17694466	99753195	15
chr16	35848286	37829521	96330374	16
chr17	23892419	27486939	84276897	17
chr18	15965699	20933550	80542538	18
chr19	25817676	29768171	61707364	19
chr20	26925852	29099655	66210255	20
chr21	10962853	11306205	45090682	21
chr22	12788180	15711065	51324926	22
chrX	57820107	60927025	154259566	23
chrY	10565750	10883085	62460029	24
