chr	cen.start	cen.end	chr.len	order
chr1	121500000	128900000	249250621	1
chr2	90500000	96800000	243199373	2
chr3	87900000	93900000	198022430	3
chr4	48200000	52700000	191154276	4
chr5	46100000	50700000	180915260	5
chr6	58700000	63300000	171115067	6
chr7	58000000	61700000	159138663	7
chr8	43100000	48100000	146364022	8
chr9	47300000	50700000	141213431	9
chr10	38000000	42300000	135534747	10
chr11	51600000	55700000	135006516	11
chr12	33300000	38200000	133851895	12
chr13	16300000	19500000	115169878	13
chr14	16100000	19100000	107349540	14
chr15	15800000	20700000	102531392	15
chr16	34600000	38600000	90354753	16
chr17	22200000	25800000	81195210	17
chr18	15400000	19000000	78077248	18
chr19	24400000	28600000	59128983	19
chr20	25600000	29400000	63025520	20
chr21	10900000	14300000	48129895	21
chr22	12200000	17900000	51304566	22
chrX	58100000	63000000	155270560	23
chrY	11600000	13400000	59373566	24
